# Time,Median,Upper Error,Lower Error
1.677014557957649231e+03,1.080330000000000040e-01,3.493559999999999999e-01,-1.513770000000000115e-01
2.679011266589164734e+03,1.621700000000000086e-01,3.939980000000000149e-01,-9.023799999999999877e-02
2.697857587814331055e+03,9.546499999999999431e-02,3.252329999999999943e-01,-1.498710000000000042e-01
2.766960741877555847e+03,1.445670000000000011e-01,3.647380000000000067e-01,-9.736999999999999822e-02
3.030809087276458740e+03,8.516400000000000359e-02,3.039839999999999764e-01,-1.496240000000000070e-01
3.388888778209686279e+03,1.270489999999999953e-01,3.384539999999999771e-01,-1.013059999999999933e-01
3.479979193568229675e+03,7.413699999999999457e-02,2.879340000000000233e-01,-1.460930000000000006e-01
3.574210639119148254e+03,2.673499999999999835e-02,2.315969999999999973e-01,-1.945209999999999995e-01
3.856904875636100769e+03,-2.303099999999999939e-02,1.749900000000000067e-01,-2.435219999999999885e-01
3.882033247113227844e+03,1.849299999999999902e-02,2.130009999999999959e-01,-1.969690000000000052e-01
3.894597427725791931e+03,5.416800000000000087e-02,2.469939999999999913e-01,-1.559750000000000025e-01
4.120752701044082642e+03,9.064200000000000035e-02,2.883290000000000020e-01,-1.066949999999999982e-01
5.138450270652770996e+03,5.185700000000000032e-02,2.394959999999999867e-01,-1.500829999999999942e-01
6.225248784303665161e+03,1.500699999999999951e-02,2.027639999999999998e-01,-1.810080000000000022e-01
6.639865038514137268e+03,4.794400000000000051e-02,2.292130000000000001e-01,-1.471470000000000000e-01
6.727813913583755493e+03,1.263599999999999966e-02,1.943249999999999977e-01,-1.785100000000000020e-01
6.730954933881759644e+03,7.928599999999999537e-02,2.616959999999999842e-01,-1.082889999999999964e-01
6.743519064664840698e+03,8.061300000000000410e-02,2.616959999999999842e-01,-1.081040000000000056e-01
6.925698815345764160e+03,1.752000000000000085e-02,1.723300000000000110e-01,-1.978229999999999988e-01
7.330891528964042664e+03,1.512499999999999956e-02,1.698199999999999987e-01,-2.017059999999999964e-01
7.940250634670257568e+03,1.263599999999999966e-02,1.943249999999999977e-01,-1.785100000000000020e-01
7.946532675147056580e+03,1.003899999999999931e-02,1.867010000000000058e-01,-1.834619999999999862e-01
8.285763274908065796e+03,-5.710500000000000298e-02,1.292639999999999900e-01,-2.398800000000000099e-01
9.884542318463325500e+03,-1.279569999999999874e-01,5.321399999999999741e-02,-3.128349999999999742e-01
1.009184937059879303e+04,-5.844400000000000289e-02,1.244129999999999958e-01,-2.494530000000000081e-01
1.048133519339561462e+04,-6.006700000000000234e-02,1.322319999999999884e-01,-2.398039999999999894e-01
1.057242459869384766e+04,-6.006700000000000234e-02,1.322319999999999884e-01,-2.398039999999999894e-01
1.057556560897827148e+04,3.785000000000000170e-03,1.657929999999999959e-01,-2.089810000000000001e-01
1.067921903514862061e+04,-5.945999999999999897e-02,1.022060000000000052e-01,-2.729170000000000207e-01
1.093364105987548828e+04,-5.628400000000000070e-02,1.042389999999999983e-01,-2.696830000000000060e-01
1.110953772020339966e+04,-5.475200000000000206e-02,1.244129999999999958e-01,-2.484929999999999917e-01
1.169376565444469452e+04,-5.628400000000000070e-02,1.042389999999999983e-01,-2.696830000000000060e-01
1.173773979699611664e+04,-5.633400000000000213e-02,1.244129999999999958e-01,-2.482330000000000092e-01
1.205498166561126709e+04,-5.633400000000000213e-02,1.244129999999999958e-01,-2.482330000000000092e-01
1.216805795216560364e+04,-5.633400000000000213e-02,1.244129999999999958e-01,-2.482330000000000092e-01
1.238792847514152527e+04,-5.288099999999999745e-02,1.244249999999999939e-01,-2.486520000000000119e-01
1.264863204026222229e+04,-5.256299999999999861e-02,1.244249999999999939e-01,-2.486520000000000119e-01
1.296273260879516602e+04,-1.195699999999999957e-01,4.585399999999999893e-02,-3.228710000000000191e-01
1.318574396181106567e+04,-1.212030000000000052e-01,4.747900000000000037e-02,-3.232659999999999978e-01
1.377311172628402710e+04,-1.212030000000000052e-01,4.747900000000000037e-02,-3.232659999999999978e-01
1.390503388392925262e+04,-4.624700000000000338e-02,1.220789999999999931e-01,-2.474959999999999938e-01
1.423169818305969238e+04,-4.533000000000000224e-02,1.323689999999999867e-01,-2.374660000000000104e-01
1.458349053359031677e+04,-4.485299999999999704e-02,1.220789999999999931e-01,-2.485199999999999909e-01
1.507034593212604523e+04,-1.135889999999999955e-01,5.780099999999999821e-02,-3.094480000000000008e-01
1.507976896262168884e+04,-1.135889999999999955e-01,5.780099999999999821e-02,-3.094480000000000008e-01
1.549752229714393616e+04,-4.290000000000000063e-02,1.247790000000000010e-01,-2.475050000000000028e-01
1.558547036230564117e+04,-1.125379999999999991e-01,5.798099999999999782e-02,-3.102599999999999802e-01
1.615085071551799774e+04,-4.605200000000000266e-02,1.220789999999999931e-01,-2.500269999999999992e-01
1.666283402538299561e+04,-4.489100000000000035e-02,1.253980000000000095e-01,-2.475050000000000028e-01
1.673821807980537415e+04,2.265199999999999853e-02,1.949799999999999867e-01,-1.796750000000000014e-01
1.725962436044216156e+04,2.265199999999999853e-02,1.949799999999999867e-01,-1.796750000000000014e-01
1.758628851938247681e+04,-4.276499999999999746e-02,1.287399999999999933e-01,-2.457429999999999892e-01
1.795692667114734650e+04,2.766700000000000062e-02,2.285679999999999934e-01,-1.467299999999999993e-01
1.853801193511486053e+04,2.766700000000000062e-02,2.285679999999999934e-01,-1.467299999999999993e-01
1.897775211095809937e+04,9.352000000000000590e-02,2.810630000000000073e-01,-9.112099999999999367e-02
1.973473335528373718e+04,9.520599999999999896e-02,2.914470000000000116e-01,-7.936500000000000499e-02
2.000485943102836609e+04,9.328300000000000480e-02,2.843330000000000024e-01,-8.672699999999999854e-02
2.052312461137771606e+04,9.185000000000000109e-02,2.814039999999999875e-01,-8.950500000000000123e-02
2.100055674934387207e+04,2.405099999999999946e-02,1.935910000000000131e-01,-1.805940000000000045e-01
2.105709476256370544e+04,-4.293700000000000294e-02,1.218930000000000013e-01,-2.500269999999999992e-01
2.113561979722976685e+04,-4.350099999999999800e-02,1.220789999999999931e-01,-2.474959999999999938e-01
2.146542488646507263e+04,2.288799999999999862e-02,1.901809999999999889e-01,-1.815589999999999982e-01
2.188946002137660980e+04,2.688300000000000065e-02,1.903499999999999914e-01,-1.799820000000000031e-01
2.247996820592880249e+04,-4.006799999999999945e-02,1.218930000000000013e-01,-2.457910000000000095e-01
2.264644125556945801e+04,-4.293700000000000294e-02,1.305409999999999904e-01,-2.374660000000000104e-01
2.295740031385421753e+04,-4.624700000000000338e-02,1.224900000000000017e-01,-2.468990000000000073e-01
2.318041137707233429e+04,-4.624700000000000338e-02,1.224900000000000017e-01,-2.468990000000000073e-01
2.335944843745231628e+04,-4.728799999999999670e-02,1.215279999999999971e-01,-2.466019999999999879e-01
2.338771743917465210e+04,1.844499999999999959e-02,1.868269999999999931e-01,-1.825239999999999918e-01
2.358245949041843414e+04,8.218899999999999817e-02,2.506849999999999912e-01,-1.177210000000000062e-01
2.451533676505088806e+04,1.486800000000000066e-01,3.266220000000000234e-01,-3.592000000000000054e-02
2.565866105198860168e+04,2.141500000000000070e-01,3.896620000000000084e-01,3.219600000000000239e-02
2.592564613759517670e+04,1.483659999999999979e-01,3.203349999999999809e-01,-4.513400000000000051e-02
2.623346421563625336e+04,8.290200000000000347e-02,2.525390000000000135e-01,-1.175550000000000067e-01
2.681769037985801697e+04,8.061300000000000410e-02,2.616959999999999842e-01,-1.081040000000000056e-01
2.710666243684291840e+04,1.423119999999999941e-01,3.203349999999999809e-01,-4.385599999999999915e-02
2.724800745522975922e+04,2.057539999999999925e-01,3.844119999999999759e-01,2.484099999999999850e-02
2.735794250166416168e+04,1.411610000000000087e-01,3.202099999999999946e-01,-4.385599999999999915e-02
2.741133951461315155e+04,2.067190000000000139e-01,3.784629999999999939e-01,1.576500000000000123e-02
2.834421675932407379e+04,1.411610000000000087e-01,3.202099999999999946e-01,-4.385599999999999915e-02
2.929279902470111847e+04,7.270500000000000573e-02,2.576080000000000036e-01,-1.117989999999999956e-01
2.929908099520206451e+04,7.471500000000000363e-02,2.576869999999999994e-01,-1.119669999999999971e-01
2.931164500594139099e+04,7.689600000000000601e-02,2.592400000000000260e-01,-1.111729999999999940e-01
2.958491207194328308e+04,7.928599999999999537e-02,2.616959999999999842e-01,-1.082889999999999964e-01
3.004349819886684418e+04,8.290200000000000347e-02,2.525390000000000135e-01,-1.175550000000000067e-01
3.017227923631668091e+04,1.494260000000000033e-01,3.203349999999999809e-01,-4.385599999999999915e-02
3.061830130243301392e+04,1.510720000000000118e-01,3.202800000000000091e-01,-4.435700000000000059e-02
3.070624932754039764e+04,1.510720000000000118e-01,3.202800000000000091e-01,-4.435700000000000059e-02
3.101406738555431366e+04,1.541599999999999915e-01,3.203349999999999809e-01,-4.240800000000000125e-02
3.114913042354583740e+04,8.985899999999999443e-02,2.618349999999999844e-01,-1.037539999999999990e-01
3.187784259629249573e+04,1.494260000000000033e-01,3.203349999999999809e-01,-4.385599999999999915e-02
3.230815970134735107e+04,1.503899999999999959e-01,3.255089999999999928e-01,-3.986399999999999666e-02
3.240867168736457825e+04,1.504489999999999994e-01,3.203349999999999809e-01,-4.385599999999999915e-02
3.406083810400962830e+04,1.504489999999999994e-01,3.203349999999999809e-01,-4.385599999999999915e-02
3.410167111635208130e+04,1.503899999999999959e-01,3.255089999999999928e-01,-3.986399999999999666e-02
3.450057815968990326e+04,2.044340000000000046e-01,3.784379999999999966e-01,1.271800000000000014e-02
3.481781925821304321e+04,2.072289999999999965e-01,3.797829999999999817e-01,1.514500000000000048e-02
3.490890826368331909e+04,1.428310000000000135e-01,3.248650000000000149e-01,-4.187500000000000250e-02
3.491204925394058228e+04,2.089509999999999978e-01,3.924139999999999850e-01,3.234700000000000075e-02
3.522929034233093262e+04,1.443029999999999868e-01,3.230549999999999811e-01,-4.513400000000000051e-02
3.535178936958312988e+04,1.334140000000000048e-01,3.204000000000000181e-01,-5.550800000000000178e-02
3.538948139166831970e+04,1.220350000000000046e-01,3.002739999999999854e-01,-8.096899999999999931e-02
3.566588944792747498e+04,1.217379999999999990e-01,3.032360000000000055e-01,-8.119999999999999440e-02
3.614018050587177277e+04,4.947399999999999715e-02,2.415470000000000117e-01,-1.519899999999999862e-01
3.660504862284660339e+04,4.729699999999999876e-02,2.358530000000000071e-01,-1.573589999999999989e-01
3.740286279964447021e+04,1.229220000000000035e-01,3.108110000000000039e-01,-7.490499999999999936e-02
3.763843786346912384e+04,1.229220000000000035e-01,3.108110000000000039e-01,-7.490499999999999936e-02
3.767298886561393738e+04,1.244900000000000034e-01,3.106639999999999957e-01,-7.450099999999999778e-02
3.772010389816761017e+04,1.258799999999999919e-01,3.085049999999999737e-01,-7.490099999999999536e-02
3.835144502508640289e+04,1.174049999999999955e-01,3.062739999999999907e-01,-8.054600000000000648e-02
4.397069536411762238e+04,1.168219999999999953e-01,3.051300000000000123e-01,-8.054600000000000648e-02
4.398325933492183685e+04,1.872989999999999933e-01,3.749430000000000263e-01,-6.100999999999999653e-03
4.428479541265964508e+04,1.872989999999999933e-01,3.749430000000000263e-01,-6.100999999999999653e-03
4.468998451626300812e+04,1.861569999999999891e-01,3.732159999999999922e-01,-6.596000000000000300e-03
4.520824964666366577e+04,2.548039999999999750e-01,4.356229999999999825e-01,6.302099999999999369e-02
5.409414068686962128e+04,3.266290000000000027e-01,5.031799999999999606e-01,1.381709999999999883e-01
5.768430450713634491e+04,2.517159999999999953e-01,4.356229999999999825e-01,6.414100000000000357e-02
6.020652808463573456e+04,1.881839999999999902e-01,3.714669999999999916e-01,-8.736000000000000709e-03
6.086927920353412628e+04,1.861359999999999959e-01,3.747880000000000100e-01,-6.533999999999999878e-03
6.117081527125835419e+04,2.553969999999999851e-01,4.416689999999999783e-01,6.787899999999999490e-02
6.174247741472721100e+04,2.585129999999999928e-01,4.416689999999999783e-01,6.780600000000000516e-02
6.177074644637107849e+04,3.302950000000000053e-01,5.152349999999999985e-01,1.451139999999999930e-01
6.202516749131679535e+04,3.345960000000000045e-01,5.181930000000000147e-01,1.503579999999999917e-01
6.206600052356719971e+04,4.060759999999999925e-01,5.743230000000000279e-01,2.165169999999999872e-01
6.330983679640293121e+04,4.060759999999999925e-01,5.743230000000000279e-01,2.165169999999999872e-01
6.334438780844211578e+04,4.060759999999999925e-01,5.743230000000000279e-01,2.165169999999999872e-01
6.339778482162952423e+04,3.342140000000000111e-01,5.181120000000000170e-01,1.515610000000000013e-01
6.342291283309459686e+04,3.411150000000000015e-01,5.211090000000000444e-01,1.605459999999999943e-01
6.350143782770633698e+04,4.109909999999999952e-01,5.908320000000000238e-01,2.384380000000000110e-01
6.367419287788867950e+04,4.778530000000000277e-01,6.436169999999999947e-01,3.038020000000000165e-01
6.368361586844921112e+04,4.778530000000000277e-01,6.436169999999999947e-01,3.038020000000000165e-01
6.403226699864864349e+04,4.744749999999999801e-01,6.344600000000000239e-01,2.943239999999999745e-01
6.438091803920269012e+04,4.799720000000000097e-01,6.576490000000000391e-01,3.240839999999999832e-01
6.475155615079402924e+04,4.140579999999999816e-01,5.872530000000000250e-01,2.475779999999999925e-01
6.507507918989658356e+04,4.125550000000000050e-01,5.876879999999999882e-01,2.468829999999999913e-01
6.537661530733108521e+04,4.777299999999999880e-01,6.684609999999999719e-01,3.437169999999999948e-01
6.619327549529075623e+04,5.446419999999999595e-01,7.268529999999999713e-01,4.167910000000000226e-01
6.622468550717830658e+04,5.428479999999999972e-01,7.273089999999999833e-01,4.167910000000000226e-01
6.624667249834537506e+04,5.428479999999999972e-01,7.273089999999999833e-01,4.167910000000000226e-01
6.671154059553146362e+04,4.795809999999999795e-01,6.575550000000000006e-01,3.337149999999999839e-01
6.682147561204433441e+04,4.823439999999999950e-01,6.583839999999999693e-01,3.336379999999999901e-01
6.703192264437675476e+04,5.496480000000000254e-01,7.279590000000000227e-01,4.198279999999999790e-01
6.718269068324565887e+04,5.487300000000000511e-01,7.144089999999999607e-01,4.059240000000000070e-01
6.729262570965290070e+04,5.487300000000000511e-01,7.144089999999999607e-01,4.059240000000000070e-01
6.814069591927528381e+04,5.487300000000000511e-01,7.144089999999999607e-01,4.059240000000000070e-01
