# Time,Median,Upper Error,Lower Error
1.165181004628539085e+03,9.014119999999999910e-01,1.000000000000000000e+00,7.852409999999999668e-01
1.690223105043172836e+03,9.143390000000000128e-01,1.000000000000000000e+00,8.141690000000000316e-01
1.787453108876943588e+03,9.125640000000000418e-01,1.000000000000000000e+00,8.082799999999999985e-01
1.852273141339421272e+03,9.247779999999999889e-01,1.000000000000000000e+00,8.355879999999999974e-01
2.069420199811458588e+03,9.340629999999999766e-01,1.000000000000000000e+00,8.595490000000000075e-01
2.351387270808219910e+03,9.358349999999999724e-01,1.000000000000000000e+00,8.631929999999999881e-01
2.630113391563296318e+03,9.390249999999999986e-01,1.000000000000000000e+00,8.686490000000000045e-01
3.116263590559363365e+03,9.439340000000000508e-01,1.000000000000000000e+00,8.800170000000000492e-01
3.151914621904492378e+03,9.452120000000000521e-01,1.000000000000000000e+00,8.794199999999999795e-01
3.372302720531821251e+03,9.131909999999999750e-01,1.000000000000000000e+00,8.068380000000000551e-01
3.485737794905900955e+03,9.287079999999999780e-01,1.000000000000000000e+00,8.402939999999999854e-01
3.667233892008662224e+03,9.313829999999999609e-01,1.000000000000000000e+00,8.436799999999999855e-01
3.809837987497448921e+03,9.337680000000000424e-01,1.000000000000000000e+00,8.545890000000000430e-01
3.962165093407034874e+03,9.192339999999999955e-01,1.000000000000000000e+00,8.164550000000000418e-01
4.120974189624190331e+03,8.935309999999999642e-01,1.000000000000000000e+00,7.578230000000000244e-01
4.710836622595787048e+03,9.050989999999999869e-01,1.000000000000000000e+00,7.884309999999999929e-01
4.759451684430241585e+03,8.958530000000000104e-01,1.000000000000000000e+00,7.628789999999999738e-01
5.171059030458331108e+03,8.941740000000000244e-01,1.000000000000000000e+00,7.584929999999999728e-01
5.310422155901789665e+03,8.733959999999999502e-01,1.000000000000000000e+00,7.193779999999999619e-01
5.355796197652816772e+03,8.567000000000000171e-01,1.000000000000000000e+00,6.839180000000000259e-01
5.530810344502329826e+03,8.579569999999999697e-01,1.000000000000000000e+00,6.880209999999999937e-01
5.702583531126379967e+03,8.668829999999999592e-01,1.000000000000000000e+00,7.035709999999999464e-01
