# Time,Median,Upper Error,Lower Error
3.143016906082630157e+03,-5.256009999999999849e-01,-3.140060000000000073e-01,-7.538280000000000536e-01
4.381078741282224655e+03,-4.377989999999999937e-01,-2.417289999999999994e-01,-6.916069999999999718e-01
4.536646728247404099e+03,-4.768649999999999833e-01,-2.828910000000000036e-01,-7.118449999999999500e-01
5.252907720178365707e+03,-5.056789999999999896e-01,-3.152499999999999747e-01,-7.261870000000000269e-01
5.674237748920917511e+03,-5.357460000000000555e-01,-3.582629999999999981e-01,-7.534419999999999451e-01
5.923794750064611435e+03,-5.580709999999999837e-01,-3.841390000000000082e-01,-7.610580000000000123e-01
6.986842737525701523e+03,-4.822899999999999965e-01,-3.026840000000000086e-01,-6.882070000000000132e-01
7.077590751558542252e+03,-5.079510000000000414e-01,-3.360540000000000194e-01,-7.077999999999999847e-01
8.805043838649988174e+03,-4.446149999999999824e-01,-2.666529999999999734e-01,-6.415579999999999616e-01
8.973575846165418625e+03,-4.726130000000000053e-01,-2.904769999999999852e-01,-6.567790000000000017e-01
9.054600869715213776e+03,-4.929839999999999778e-01,-3.182209999999999761e-01,-6.728939999999999921e-01
1.038989296931028366e+04,-5.123400000000000176e-01,-3.531549999999999967e-01,-6.974630000000000551e-01
1.232477017563581467e+04,-4.552519999999999900e-01,-2.886009999999999964e-01,-6.358970000000000455e-01
1.245116921123862267e+04,-4.763620000000000076e-01,-3.089250000000000052e-01,-6.478760000000000074e-01
1.351421729868650436e+04,-4.957770000000000232e-01,-3.316830000000000056e-01,-6.610089999999999577e-01
1.351745830878615379e+04,-4.494420000000000082e-01,-2.876719999999999833e-01,-6.187920000000000087e-01
1.421427339988946915e+04,-4.567530000000000201e-01,-2.839059999999999917e-01,-6.180620000000000003e-01
1.462588044825196266e+04,-5.220449999999999813e-01,-3.805299999999999794e-01,-7.032380000000000297e-01
1.508286151865124702e+04,-5.234020000000000339e-01,-3.753679999999999795e-01,-6.961709999999999843e-01
1.533565952998399734e+04,-5.911380000000000523e-01,-4.523760000000000003e-01,-7.568120000000000402e-01
1.680707368555665016e+04,-5.911380000000000523e-01,-4.523760000000000003e-01,-7.568120000000000402e-01
1.687837569874525070e+04,-5.253889999999999949e-01,-3.755789999999999962e-01,-6.957900000000000196e-01
1.725109075540304184e+04,-5.213799999999999546e-01,-3.785620000000000096e-01,-6.987679999999999447e-01
1.728025975668430328e+04,-5.213799999999999546e-01,-3.785620000000000096e-01,-6.987679999999999447e-01
1.804837688088417053e+04,-4.539230000000000209e-01,-3.079450000000000243e-01,-6.393870000000000386e-01
1.817153487646579742e+04,-4.493210000000000259e-01,-2.862520000000000064e-01,-6.183769999999999545e-01
1.831413891276717186e+04,-3.824330000000000229e-01,-2.194969999999999977e-01,-5.605609999999999760e-01
1.893965195074677467e+04,-4.493210000000000259e-01,-2.862520000000000064e-01,-6.183769999999999545e-01
1.977258905789256096e+04,-3.840759999999999730e-01,-2.105609999999999982e-01,-5.508750000000000036e-01
2.007400208133459091e+04,-3.803940000000000099e-01,-2.222320000000000129e-01,-5.621969999999999468e-01
2.020040111690759659e+04,-3.133759999999999879e-01,-1.516079999999999928e-01,-4.989149999999999974e-01
2.317239847949147224e+04,-3.120999999999999885e-01,-1.511659999999999948e-01,-4.995919999999999805e-01
2.324045946261286736e+04,-2.472749999999999948e-01,-7.957599999999999396e-02,-4.336949999999999972e-01
2.372660954427719116e+04,-3.115049999999999764e-01,-1.511659999999999948e-01,-4.962900000000000089e-01
2.392106956297159195e+04,-2.440329999999999999e-01,-7.970299999999999607e-02,-4.325479999999999881e-01
2.454982364094257355e+04,-2.440329999999999999e-01,-7.970299999999999607e-02,-4.325479999999999881e-01
2.462112565416097641e+04,-2.424820000000000031e-01,-7.969600000000000295e-02,-4.317019999999999746e-01
2.516561367848515511e+04,-2.444109999999999894e-01,-8.798499999999999377e-02,-4.392349999999999866e-01
2.518505969932675362e+04,-2.463480000000000114e-01,-8.833499999999999686e-02,-4.406329999999999969e-01
2.521098769047856331e+04,-2.444109999999999894e-01,-8.798499999999999377e-02,-4.392349999999999866e-01
2.550915975373983383e+04,-3.111059999999999937e-01,-1.533730000000000093e-01,-4.962340000000000084e-01
2.631292786958813667e+04,-3.095330000000000026e-01,-1.523799999999999877e-01,-4.962799999999999989e-01
2.669860686689615250e+04,-3.095330000000000026e-01,-1.523799999999999877e-01,-4.962799999999999989e-01
2.734032494550943375e+04,-3.095330000000000026e-01,-1.523799999999999877e-01,-4.962799999999999989e-01
2.811816506016254425e+04,-3.121149999999999758e-01,-1.521490000000000065e-01,-4.962799999999999989e-01
2.820891306421160698e+04,-3.121149999999999758e-01,-1.521490000000000065e-01,-4.962799999999999989e-01
2.850708509746193886e+04,-3.095330000000000026e-01,-1.523799999999999877e-01,-4.962799999999999989e-01
2.880849812099337578e+04,-3.095330000000000026e-01,-1.523799999999999877e-01,-4.962799999999999989e-01
2.881498013126850128e+04,-3.031900000000000150e-01,-1.396699999999999886e-01,-4.821280000000000010e-01
2.894786113721132278e+04,-3.031900000000000150e-01,-1.396699999999999886e-01,-4.821280000000000010e-01
2.925899714112281799e+04,-2.383490000000000053e-01,-8.834599999999999398e-02,-4.391010000000000191e-01
2.955716919437050819e+04,-2.368379999999999930e-01,-8.798499999999999377e-02,-4.374020000000000130e-01
3.023129724442958832e+04,-3.018440000000000012e-01,-1.393139999999999934e-01,-4.800280000000000102e-01
3.105127035093307495e+04,-2.946440000000000170e-01,-1.372289999999999899e-01,-4.822609999999999952e-01
3.112905435442924500e+04,-2.946440000000000170e-01,-1.372289999999999899e-01,-4.822609999999999952e-01
3.144343137851357460e+04,-2.946440000000000170e-01,-1.372289999999999899e-01,-4.822609999999999952e-01
3.198143742245435715e+04,-3.609800000000000231e-01,-2.145120000000000082e-01,-5.507379999999999498e-01
3.205922142592072487e+04,-3.630639999999999978e-01,-2.267409999999999981e-01,-5.606480000000000352e-01
3.215645152997970581e+04,-4.097359999999999891e-01,-2.726600000000000135e-01,-6.048609999999999820e-01
3.262639651125669479e+04,-3.886569999999999747e-01,-2.495100000000000096e-01,-5.910929999999999795e-01
3.270093951463699341e+04,-4.427719999999999989e-01,-2.988270000000000093e-01,-6.369550000000000489e-01
3.290836356380581856e+04,-4.217540000000000178e-01,-2.739590000000000081e-01,-6.218240000000000434e-01
3.328107857045531273e+04,-4.761949999999999794e-01,-3.404300000000000104e-01,-6.865029999999999744e-01
3.481407172885537148e+04,-4.552140000000000075e-01,-3.017650000000000055e-01,-6.598659999999999526e-01
3.514141274347901344e+04,-5.150099999999999678e-01,-3.377140000000000142e-01,-6.900239999999999707e-01
3.516734075456857681e+04,-4.932549999999999990e-01,-3.515099999999999891e-01,-7.166069999999999940e-01
3.530994475096464157e+04,-5.621969999999999468e-01,-3.911149999999999904e-01,-7.449500000000000011e-01
3.559191181349754333e+04,-5.401780000000000470e-01,-3.627690000000000081e-01,-7.309240000000000181e-01
3.593869884896278381e+04,-5.177950000000000053e-01,-3.216019999999999990e-01,-7.073089999999999655e-01
3.597110882049798965e+04,-4.901909999999999878e-01,-3.011460000000000248e-01,-7.023490000000000011e-01
3.711842292162775993e+04,-5.676130000000000342e-01,-4.099900000000000211e-01,-8.027849999999999708e-01
3.719296591502428055e+04,-5.413149999999999906e-01,-3.766709999999999781e-01,-7.888779999999999681e-01
3.744900497636198997e+04,-5.129550000000000498e-01,-3.437520000000000020e-01,-7.777009999999999756e-01
